S1902: MEAN INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2015 American Community Survey 5-Year Estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Black or African American,,,1.4%,,,+/-1.2,"16,157","+/-9,774",0.0%,+/-0.8,-,**,0.0%,+/-0.7,-,**,0.0%,+/-0.6,-,**,2.0%,+/-2.0,N,N,1.8%,+/-2.0,N,N,0.0%,+/-0.6,-,**,0.0%,+/-0.6,-,**,2.2%,+/-1.5,"95,105","+/-42,492",1.4%,+/-1.3,"34,709","+/-23,320",4.2%,+/-3.4,"70,691","+/-23,917",1.8%,+/-1.6,"53,783","+/-13,979",2.6%,+/-3.0,N,N,6.4%,+/-3.0,"5,996","+/-2,875",0.2%,+/-0.2,N,N,4.3%,+/-3.3,"52,526","+/-3,922",2.1%,+/-1.8,"38,337","+/-17,588",5.7%,+/-3.8,"32,093","+/-17,624",3.0%,+/-1.8,"7,096","+/-7,491",6.5%,+/-3.8,"22,730","+/-10,412",19.6%,+/-6.4,"23,409","+/-8,871",10.2%,+/-7.1,"21,289","+/-8,501",6.2%,+/-3.1,"33,594","+/-14,039",5.6%,+/-3.1,"17,927","+/-9,914",7.3%,+/-3.3,"15,318","+/-4,090",14.4%,+/-5.3,"10,065","+/-2,693",10.7%,+/-5.4,"9,814","+/-6,202",0.6%,+/-0.9,N,N,0.0%,+/-1.1,-,**
      American Indian and Alaska Native,,,0.0%,,,+/-0.9,-,**,0.0%,+/-0.8,-,**,0.0%,+/-0.7,-,**,0.0%,+/-0.6,-,**,0.0%,+/-1.2,-,**,0.0%,+/-0.9,-,**,0.0%,+/-0.6,-,**,0.2%,+/-0.4,N,N,0.0%,+/-0.7,-,**,0.0%,+/-0.6,-,**,0.0%,+/-0.7,-,**,0.0%,+/-1.0,-,**,1.3%,+/-1.8,N,N,0.0%,+/-2.0,-,**,1.3%,+/-1.4,"13,538","+/-13,786",1.0%,+/-1.5,N,N,0.0%,+/-1.2,-,**,0.0%,+/-0.9,-,**,0.7%,+/-0.8,N,N,0.0%,+/-0.7,-,**,0.8%,+/-1.0,"39,181","+/-7,630",1.1%,+/-1.3,N,N,0.0%,+/-1.3,-,**,0.4%,+/-0.6,N,N,0.0%,+/-0.9,-,**,1.8%,+/-2.1,N,N,2.2%,+/-2.4,"7,689","+/-5,709",0.0%,+/-1.4,-,**,0.0%,+/-1.1,-,**
      Asian,,,33.8%,,,+/-5.2,"33,383","+/-8,477",9.6%,+/-3.7,"61,294","+/-23,610",38.8%,+/-8.4,"19,114","+/-6,052",27.8%,+/-6.2,"47,701","+/-13,646",31.1%,+/-9.0,"68,312","+/-29,674",58.6%,+/-6.0,"19,143","+/-3,606",75.4%,+/-4.5,"14,678","+/-2,726",47.8%,+/-6.7,"34,329","+/-8,363",27.5%,+/-5.7,"66,056","+/-17,347",43.8%,+/-5.5,"43,192","+/-9,208",25.3%,+/-7.0,"46,963","+/-15,311",34.3%,+/-4.8,"34,481","+/-11,583",73.1%,+/-6.6,"24,958","+/-7,602",44.2%,+/-8.0,"34,041","+/-13,252",83.9%,+/-6.5,"14,668","+/-2,667",28.3%,+/-5.1,"53,132","+/-16,558",32.4%,+/-5.4,"61,370","+/-20,959",38.5%,+/-9.4,"23,558","+/-12,121",27.7%,+/-6.0,"45,112","+/-24,443",26.9%,+/-7.5,"19,044","+/-4,757",17.7%,+/-7.4,"20,510","+/-8,975",28.7%,+/-8.4,"13,731","+/-3,824",37.5%,+/-7.3,"29,567","+/-7,185",24.4%,+/-6.4,"16,230","+/-3,880",34.6%,+/-9.3,"49,572","+/-12,213",41.6%,+/-6.7,"11,731","+/-2,978",40.9%,+/-10.1,"14,120","+/-3,949",10.4%,+/-4.1,"60,233","+/-11,755",10.0%,+/-4.1,"117,542","+/-74,901"
      Native Hawaiian and Other Pacific Islander,,,0.0%,,,+/-0.9,-,**,0.3%,+/-0.5,N,N,0.0%,+/-0.7,-,**,0.0%,+/-0.6,-,**,0.8%,+/-1.4,N,N,0.0%,+/-0.9,-,**,0.0%,+/-0.6,-,**,0.0%,+/-0.6,-,**,0.0%,+/-0.7,-,**,0.0%,+/-0.6,-,**,0.0%,+/-0.7,-,**,2.1%,+/-2.0,N,N,0.3%,+/-0.5,N,N,0.0%,+/-2.0,-,**,0.0%,+/-2.0,-,**,0.0%,+/-1.3,-,**,0.0%,+/-1.2,-,**,0.0%,+/-0.9,-,**,0.0%,+/-0.8,-,**,0.0%,+/-0.7,-,**,0.3%,+/-0.8,N,N,0.0%,+/-1.6,-,**,0.0%,+/-1.3,-,**,0.8%,+/-0.9,N,N,0.0%,+/-0.9,-,**,0.0%,+/-0.9,-,**,0.0%,+/-0.8,-,**,0.0%,+/-1.4,-,**,0.0%,+/-1.1,-,**
      Some other race,,,1.5%,,,+/-1.6,"32,729","+/-44,398",1.9%,+/-2.3,N,N,3.3%,+/-3.5,N,N,2.9%,+/-3.0,"56,126","+/-38,299",1.4%,+/-1.7,N,N,1.4%,+/-1.4,"42,194","+/-13,171",0.5%,+/-0.9,-,**,2.5%,+/-2.6,"68,722","+/-12,747",1.1%,+/-1.5,N,N,3.6%,+/-3.7,"68,665","+/-34,430",2.4%,+/-2.3,"74,026","+/-22,533",0.8%,+/-0.9,"25,156","+/-10,703",0.0%,+/-1.1,-,**,9.6%,+/-6.2,"29,322","+/-17,817",3.3%,+/-4.8,N,N,4.5%,+/-2.9,"17,034","+/-12,869",5.2%,+/-4.0,"49,272","+/-24,174",1.6%,+/-1.2,"27,828","+/-20,067",3.8%,+/-1.9,"5,219","+/-3,377",16.0%,+/-8.5,"25,557","+/-12,944",11.0%,+/-10.1,"14,573","+/-7,570",7.1%,+/-5.2,"6,531","+/-2,226",6.7%,+/-5.0,"94,736","+/-43,596",16.4%,+/-7.4,"23,927","+/-15,086",11.3%,+/-8.4,"14,411","+/-8,970",5.8%,+/-4.5,"12,592","+/-5,226",13.9%,+/-11.4,"13,085","+/-2,103",0.0%,+/-1.4,-,**,1.1%,+/-1.8,N,N
    Two or more races,,,7.4%,,,+/-4.6,"31,616","+/-14,439",3.8%,+/-2.5,"53,316","+/-36,322",1.2%,+/-1.1,"207,783","+/-137,528",8.5%,+/-3.9,"81,001","+/-40,638",9.7%,+/-6.6,"26,213","+/-19,285",3.7%,+/-4.3,"15,220","+/-6,878",0.6%,+/-0.9,-,**,3.3%,+/-2.1,"38,443","+/-23,787",0.6%,+/-0.9,-,**,3.6%,+/-3.7,"43,674","+/-20,535",4.5%,+/-3.6,"30,757","+/-22,468",4.7%,+/-2.5,"14,974","+/-10,683",2.9%,+/-2.0,"32,919","+/-22,931",2.5%,+/-1.9,N,N,0.7%,+/-0.8,N,N,3.4%,+/-1.9,"32,512","+/-29,485",4.7%,+/-2.7,"49,421","+/-28,958",6.1%,+/-3.6,"28,928","+/-15,084",6.1%,+/-3.0,"29,639","+/-15,720",7.2%,+/-4.1,"18,523","+/-10,575",3.2%,+/-2.5,"27,510","+/-16,731",3.4%,+/-2.9,"8,684","+/-11,544",4.5%,+/-2.3,"13,085","+/-5,273",4.2%,+/-3.0,"8,189","+/-6,187",2.5%,+/-1.8,"41,983","+/-35,787",1.5%,+/-1.8,N,N,5.0%,+/-3.2,"6,089","+/-5,441",3.1%,+/-3.2,N,N,2.9%,+/-1.8,"146,015","+/-39,321"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic or Latino origin (of any race),,,11.8%,,,+/-5.1,"28,427","+/-10,578",3.2%,+/-2.5,"44,695","+/-18,050",8.9%,+/-5.4,"45,383","+/-24,115",8.6%,+/-4.1,"53,264","+/-34,714",5.5%,+/-3.3,"72,899","+/-53,146",5.9%,+/-4.4,"37,130","+/-22,211",3.2%,+/-2.3,"44,232","+/-47,535",8.1%,+/-3.6,"63,114","+/-18,210",1.7%,+/-1.7,"65,367","+/-38,757",7.0%,+/-4.8,"100,612","+/-39,817",9.0%,+/-4.9,"56,498","+/-22,529",6.0%,+/-3.4,"58,399","+/-25,148",2.5%,+/-2.1,"33,158","+/-19,776",15.1%,+/-6.8,"33,784","+/-15,607",6.4%,+/-5.1,"25,096","+/-18,046",9.8%,+/-3.9,"32,283","+/-14,810",14.0%,+/-5.3,"41,104","+/-14,292",6.5%,+/-2.8,"36,880","+/-12,804",19.7%,+/-6.2,"22,439","+/-7,252",24.0%,+/-8.8,"25,364","+/-8,583",24.5%,+/-13.9,"25,280","+/-10,039",27.8%,+/-12.7,"11,841","+/-5,086",14.1%,+/-6.5,"64,113","+/-27,443",35.5%,+/-8.9,"12,950","+/-2,718",13.8%,+/-10.6,"21,160","+/-11,075",15.3%,+/-6.6,"17,457","+/-8,040",25.5%,+/-10.6,"14,128","+/-2,235",14.7%,+/-5.7,"65,555","+/-21,293",4.3%,+/-2.8,"82,437","+/-22,785"
"White alone, not Hispanic or Latino",,,47.1%,,,+/-5.2,"76,135","+/-19,563",83.4%,+/-4.5,"130,122","+/-17,910",52.9%,+/-8.0,"102,525","+/-39,159",58.2%,+/-6.9,"94,933","+/-24,777",50.5%,+/-8.4,"118,513","+/-17,327",33.7%,+/-5.1,"77,205","+/-15,746",21.4%,+/-4.0,"51,836","+/-12,418",41.2%,+/-6.2,"83,093","+/-16,703",67.7%,+/-5.7,"104,819","+/-16,572",44.2%,+/-4.2,"100,989","+/-20,791",60.6%,+/-7.8,"61,999","+/-7,408",53.0%,+/-6.1,"163,122","+/-82,060",18.6%,+/-5.9,"91,911","+/-33,304",32.4%,+/-6.7,"100,201","+/-41,511",9.2%,+/-4.0,"72,794","+/-57,791",53.7%,+/-5.8,"70,361","+/-11,130",47.2%,+/-6.1,"61,220","+/-11,119",43.1%,+/-8.6,"47,689","+/-7,088",44.9%,+/-5.7,"48,301","+/-8,300",36.7%,+/-7.4,"47,555","+/-10,395",35.4%,+/-7.9,"39,154","+/-16,106",30.8%,+/-7.8,"17,891","+/-4,454",38.9%,+/-7.4,"47,008","+/-9,532",27.9%,+/-6.1,"19,734","+/-5,448",39.1%,+/-7.8,"48,780","+/-11,409",26.4%,+/-6.4,"21,465","+/-5,608",15.0%,+/-5.4,"14,653","+/-3,883",74.3%,+/-6.4,"101,686","+/-11,783",82.8%,+/-5.2,"93,571","+/-13,222"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERCENT IMPUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Household income in the past 12 months,,,33.0%,,,(X),(X),(X),27.7%,(X),(X),(X),31.0%,(X),(X),(X),29.6%,(X),(X),(X),17.9%,(X),(X),(X),37.6%,(X),(X),(X),27.4%,(X),(X),(X),30.1%,(X),(X),(X),26.0%,(X),(X),(X),28.5%,(X),(X),(X),29.9%,(X),(X),(X),34.7%,(X),(X),(X),28.3%,(X),(X),(X),30.1%,(X),(X),(X),18.6%,(X),(X),(X),34.9%,(X),(X),(X),21.3%,(X),(X),(X),26.2%,(X),(X),(X),18.4%,(X),(X),(X),35.8%,(X),(X),(X),18.1%,(X),(X),(X),20.5%,(X),(X),(X),25.9%,(X),(X),(X),24.1%,(X),(X),(X),19.1%,(X),(X),(X),22.1%,(X),(X),(X),31.8%,(X),(X),(X),20.4%,(X),(X),(X),28.4%,(X),(X),(X)
  Family income in the past 12 months,,,29.1%,,,(X),(X),(X),22.1%,(X),(X),(X),34.4%,(X),(X),(X),32.1%,(X),(X),(X),17.6%,(X),(X),(X),44.1%,(X),(X),(X),29.8%,(X),(X),(X),29.1%,(X),(X),(X),39.2%,(X),(X),(X),28.2%,(X),(X),(X),30.1%,(X),(X),(X),36.0%,(X),(X),(X),28.7%,(X),(X),(X),39.0%,(X),(X),(X),15.4%,(X),(X),(X),26.4%,(X),(X),(X),20.2%,(X),(X),(X),32.1%,(X),(X),(X),29.4%,(X),(X),(X),48.0%,(X),(X),(X),23.6%,(X),(X),(X),40.1%,(X),(X),(X),23.5%,(X),(X),(X),50.1%,(X),(X),(X),47.8%,(X),(X),(X),39.9%,(X),(X),(X),34.3%,(X),(X),(X),30.3%,(X),(X),(X),31.0%,(X),(X),(X)
  Individual income in the past 12 months,,,29.9%,,,(X),(X),(X),22.6%,(X),(X),(X),24.6%,(X),(X),(X),27.7%,(X),(X),(X),16.4%,(X),(X),(X),33.5%,(X),(X),(X),21.2%,(X),(X),(X),22.9%,(X),(X),(X),26.0%,(X),(X),(X),23.7%,(X),(X),(X),29.8%,(X),(X),(X),32.4%,(X),(X),(X),23.1%,(X),(X),(X),26.8%,(X),(X),(X),16.7%,(X),(X),(X),28.4%,(X),(X),(X),21.6%,(X),(X),(X),21.9%,(X),(X),(X),17.8%,(X),(X),(X),30.3%,(X),(X),(X),26.3%,(X),(X),(X),17.7%,(X),(X),(X),21.3%,(X),(X),(X),24.6%,(X),(X),(X),18.4%,(X),(X),(X),23.8%,(X),(X),(X),28.2%,(X),(X),(X),19.3%,(X),(X),(X),25.3%,(X),(X),(X)
,"Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data). The effect of nonsampling error is not represented in these tables.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Questions for ""interest or dividends,"" ""net rental income"" and ""royalties, estates or trusts"" were asked separately for the first time during non-response follow-up via Computer Assisted Telephone Interview (CATI) and Computer Assisted Personal Interview (CAPI). Prior to 2013 these questions were asked in combination, ""interest, dividends, net rental income, royalties, estates, or trusts.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"While the 2011-2015 American Community Survey (ACS) data generally reflect the February 2013 Office of Management and Budget (OMB) definitions of metropolitan and micropolitan statistical areas; in certain instances the names, codes, and boundaries of the principal cities shown in ACS tables may differ from the OMB definitions due to differences in the effective dates of the geographic entities.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Estimates of urban and rural population, housing units, and characteristics reflect boundaries of urban areas defined based on Census 2010 data. As a result, data for urban and rural areas from the ACS do not necessarily reflect the results of ongoing urbanization.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Source: U.S. Census Bureau, 2011-2015 American Community Survey 5-Year Estimates
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Explanation of Symbols:
    1.  An '**' entry in the margin of error ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.
    2.  An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.
    3.  An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution.
    4.  An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution.
    5.  An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate.
    6.  An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate.
    7.  An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small.
    8.  An '(X)' means that the estimate is not applicable or not available.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
